[2020-10-31 15:05:24]	select * from _queen_staffs where LoginName='ajay@gmail.com' and LoginPassword='123456' 
[2020-10-31 16:00:22]	insert into `_queen_expenses` (`ExpenseTypeID`,`ExpenseTypeCode`,`ExpenseType`,`ShortDescription`,`ExpenseAmount`,`PaymentMode`,`ExpenseDetails`,`StaffID`,`CreatedOn`) values ('5','E002','Electricity','electricity','200','Bank Transfer','qaaaa','3','2020-10-31 16:00:22')
[2020-10-31 16:00:22]	select * from _queen_expensetype where IsActive='1'
[2020-10-31 16:00:24]	select * from _queen_expenses where StaffID='3' order by ExpenseID desc
[2020-10-31 16:00:27]	select * from _queen_expensetype where IsActive='1'
[2020-10-31 16:00:43]	select * from _queen_expensetype where ExpenseTypeID='3'
[2020-10-31 16:00:43]	insert into `_queen_expenses` (`ExpenseTypeID`,`ExpenseTypeCode`,`ExpenseType`,`ShortDescription`,`ExpenseAmount`,`PaymentMode`,`ExpenseDetails`,`StaffID`,`CreatedOn`) values ('3','WT001','Water','waterrrr bill','500','Cheque','bbbbbbbbbb','3','2020-10-31 16:00:43')
[2020-10-31 16:00:43]	select * from _queen_expensetype where IsActive='1'
[2020-10-31 16:00:45]	select * from _queen_expenses where StaffID='3' order by ExpenseID desc
[2020-10-31 16:00:47]	select * from _queen_expensetype where IsActive='1'
[2020-10-31 16:01:09]	select * from _queen_expensetype where ExpenseTypeID='4'
[2020-10-31 16:01:09]	insert into `_queen_expenses` (`ExpenseTypeID`,`ExpenseTypeCode`,`ExpenseType`,`ShortDescription`,`ExpenseAmount`,`PaymentMode`,`ExpenseDetails`,`StaffID`,`CreatedOn`) values ('4','E001','Travel Allowance','travel','5000','DD','cccccccccc','3','2020-10-31 16:01:09')
[2020-10-31 16:01:09]	select * from _queen_expensetype where IsActive='1'
[2020-10-31 16:01:11]	select * from _queen_expenses where StaffID='3' order by ExpenseID desc
