[2020-11-18 04:02:11]	select * from _tbl_store_types where IsActive='1'
[2020-11-18 09:50:45]	SELECT * FROM _tbl_Members_Packages where Date('2020-11-18')<=Date(BooserExpireOn) and MemberPackageID=''
[2020-11-18 09:50:45]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'wintoget_database._tbl_Members_Packages' doesn't exist
[2020-11-18 09:50:45]	SELECT * FROM _tbl_Members_Packages where   MemberPackageID=''
[2020-11-18 09:50:45]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'wintoget_database._tbl_Members_Packages' doesn't exist
[2020-11-18 09:50:45]	SELECT * FROM _tbl_Members where MemberID='252'
[2020-11-18 09:50:45]	select * from _tbl_Members where MemberCode='WTDAR00069'
[2020-11-18 09:50:45]	update `_tbl_Members` set `IsPayoutEligible`='1'  where `MemberCode`='WTDAR00069'
[2020-11-18 09:50:45]	select * from _tbl_Members_Package_Elegible where MemberID='252'
[2020-11-18 09:50:45]	SELECT * FROM _tbl_Members 
                               LEFT JOIN _tbl_Settings_Packages 
                               ON _tbl_Members.CurrentPackageID=_tbl_Settings_Packages.PackageID where 
                               `_tbl_Members`.`MemberCode` in (SELECT `ChildCode` FROM  `_tblPlacements` WHERE `PlacedByCode`='WTDAR00069'  ORDER BY `PlacementID` DESC) 
                                order by `_tbl_Members`.`MemberID` Desc 
[2020-11-18 09:50:45]	select * from _tbl_store_feedback where MemberCode='WTDAR00069'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:50:50]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='252'
[2020-11-18 09:50:50]	select * from _tbl_Members where MemberID='252'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where Position='L' and `ParentCode`='WTHAL00071'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where Position='R' and `ParentCode`='WTJAY00070'
[2020-11-18 09:50:50]	select * from `_tbl_Members` where `MemberCode`='WTDAR00069'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:50:50]	select * from _tbl_payoutsummary where MemberCode='WTDAR00069'
[2020-11-18 09:50:50]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTDAR00069'
[2020-11-18 09:50:50]	select * from _tbl_payoutsummary where   MemberID='252'  Order by `PayoutID` Desc
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTDAR00069' and Position='L'
[2020-11-18 09:50:50]	select * from `_tbl_Members` where `MemberCode`='WTHAL00071'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTHAL00071'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTHAL00071'
[2020-11-18 09:50:50]	select * from _tbl_payoutsummary where MemberCode='WTHAL00071'
[2020-11-18 09:50:50]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTHAL00071'
[2020-11-18 09:50:50]	select * from _tbl_payoutsummary where   MemberID='254'  Order by `PayoutID` Desc
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTDAR00069' and Position='R'
[2020-11-18 09:50:50]	select * from `_tbl_Members` where `MemberCode`='WTJAY00070'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTJAY00070'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTJAY00070'
[2020-11-18 09:50:50]	select * from _tbl_payoutsummary where MemberCode='WTJAY00070'
[2020-11-18 09:50:50]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTJAY00070'
[2020-11-18 09:50:50]	select * from _tbl_payoutsummary where   MemberID='253'  Order by `PayoutID` Desc
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071' and Position='L'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071' and Position='R'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070' and Position='L'
[2020-11-18 09:50:50]	select * from `_tbl_Members` where `MemberCode`='WTBHA00072'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTBHA00072'
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTBHA00072'
[2020-11-18 09:50:50]	select * from _tbl_payoutsummary where MemberCode='WTBHA00072'
[2020-11-18 09:50:50]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTBHA00072'
[2020-11-18 09:50:50]	select * from _tbl_payoutsummary where   MemberID='255'  Order by `PayoutID` Desc
[2020-11-18 09:50:50]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070' and Position='R'
[2020-11-18 09:50:50]	select * from _tbl_store_feedback where MemberCode='WTDAR00069'
[2020-11-18 09:57:05]	select * from `_tbl_Members` where  `MemberCode`='WTKAR00058'
[2020-11-18 09:57:05]	select * from _tbl_Settings_Packages where PackageID='1'
[2020-11-18 09:57:05]	insert into `_tbl_members_login_logs` (`MemberID`,`LoginOn`,`username`,`userpassword`,`IsSuccess`) values ('241','2020-11-18 09:57:05','WTKAR00058','wtgmpl','1')
[2020-11-18 09:57:05]	SQLSTATE[42S22]: Column not found: 1054 Unknown column 'username' in 'field list'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTKAR00058'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `ParentCode`='WTVIN00073'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `ParentCode`='WTSHI00076'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTKAR00058'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `ParentCode`='WTVIN00075'
[2020-11-18 09:57:06]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='241'
[2020-11-18 09:57:06]	select * from _tbl_Members where MemberID='241'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTKAR00058'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `ParentCode`='WTVIN00073'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `ParentCode`='WTSHI00076'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTKAR00058'
[2020-11-18 09:57:06]	select * from `_tblPlacements` where `ParentCode`='WTVIN00075'
[2020-11-18 09:57:06]	select * from _tbl_payoutsummary where MemberCode='WTKAR00058'
[2020-11-18 09:57:06]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTKAR00058'
[2020-11-18 09:57:06]	select * from _tbl_Members where MemberID='241'
[2020-11-18 09:57:06]	SELECT * FROM _tbl_Members_Packages where Date('2020-11-18')<=Date(BooserExpireOn) and MemberPackageID=''
[2020-11-18 09:57:06]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'wintoget_database._tbl_Members_Packages' doesn't exist
[2020-11-18 09:57:06]	SELECT * FROM _tbl_Members_Packages where   MemberPackageID=''
[2020-11-18 09:57:06]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'wintoget_database._tbl_Members_Packages' doesn't exist
[2020-11-18 09:57:06]	SELECT * FROM _tbl_Members where MemberID='241'
[2020-11-18 09:57:06]	select * from _tbl_Members where MemberCode='WTKAR00058'
[2020-11-18 09:57:06]	update `_tbl_Members` set `IsPayoutEligible`='1'  where `MemberCode`='WTKAR00058'
[2020-11-18 09:57:06]	select * from _tbl_Members_Package_Elegible where MemberID='241'
[2020-11-18 09:57:06]	SELECT * FROM _tbl_Members 
                               LEFT JOIN _tbl_Settings_Packages 
                               ON _tbl_Members.CurrentPackageID=_tbl_Settings_Packages.PackageID where 
                               `_tbl_Members`.`MemberCode` in (SELECT `ChildCode` FROM  `_tblPlacements` WHERE `PlacedByCode`='WTKAR00058'  ORDER BY `PlacementID` DESC) 
                                order by `_tbl_Members`.`MemberID` Desc 
[2020-11-18 09:57:06]	select * from _tbl_store_feedback where MemberCode='WTKAR00058'
[2020-11-18 09:58:19]	select * from `_tbl_Members` where  `MemberCode`='WTKAR00058'
[2020-11-18 09:58:19]	select * from _tbl_Settings_Packages where PackageID='1'
[2020-11-18 09:58:19]	insert into `_tbl_members_login_logs` (`MemberID`,`LoginOn`,`username`,`userpassword`,`IsSuccess`) values ('241','2020-11-18 09:58:19','WTKAR00058','wtgmpl','1')
[2020-11-18 09:58:19]	SQLSTATE[42S22]: Column not found: 1054 Unknown column 'username' in 'field list'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTKAR00058'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `ParentCode`='WTVIN00073'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `ParentCode`='WTSHI00076'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTKAR00058'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `ParentCode`='WTVIN00075'
[2020-11-18 09:58:19]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='241'
[2020-11-18 09:58:19]	select * from _tbl_Members where MemberID='241'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTKAR00058'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `ParentCode`='WTVIN00073'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `ParentCode`='WTSHI00076'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTKAR00058'
[2020-11-18 09:58:19]	select * from `_tblPlacements` where `ParentCode`='WTVIN00075'
[2020-11-18 09:58:19]	select * from _tbl_payoutsummary where MemberCode='WTKAR00058'
[2020-11-18 09:58:19]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTKAR00058'
[2020-11-18 09:58:19]	select * from _tbl_Members where MemberID='241'
[2020-11-18 09:58:19]	SELECT * FROM _tbl_Members_Packages where Date('2020-11-18')<=Date(BooserExpireOn) and MemberPackageID=''
[2020-11-18 09:58:19]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'wintoget_database._tbl_Members_Packages' doesn't exist
[2020-11-18 09:58:19]	SELECT * FROM _tbl_Members_Packages where   MemberPackageID=''
[2020-11-18 09:58:19]	SQLSTATE[42S02]: Base table or view not found: 1146 Table 'wintoget_database._tbl_Members_Packages' doesn't exist
[2020-11-18 09:58:19]	SELECT * FROM _tbl_Members where MemberID='241'
[2020-11-18 09:58:19]	select * from _tbl_Members where MemberCode='WTKAR00058'
[2020-11-18 09:58:19]	update `_tbl_Members` set `IsPayoutEligible`='1'  where `MemberCode`='WTKAR00058'
[2020-11-18 09:58:19]	select * from _tbl_Members_Package_Elegible where MemberID='241'
[2020-11-18 09:58:19]	SELECT * FROM _tbl_Members 
                               LEFT JOIN _tbl_Settings_Packages 
                               ON _tbl_Members.CurrentPackageID=_tbl_Settings_Packages.PackageID where 
                               `_tbl_Members`.`MemberCode` in (SELECT `ChildCode` FROM  `_tblPlacements` WHERE `PlacedByCode`='WTKAR00058'  ORDER BY `PlacementID` DESC) 
                                order by `_tbl_Members`.`MemberID` Desc 
[2020-11-18 09:58:19]	select * from _tbl_store_feedback where MemberCode='WTKAR00058'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:22]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='252'
[2020-11-18 09:58:22]	select * from _tbl_Members where MemberID='252'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `ParentCode`='WTDAR00069'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:22]	select * from `_tbl_Members` where `MemberCode` in ('WTJAY00070','WTBHA00072','WTHAL00071')
[2020-11-18 09:58:22]	
    SELECT * FROM _tbl_Members LEFT JOIN
        _tbl_Settings_Packages ON _tbl_Members.CurrentPackageID=_tbl_Settings_Packages.PackageID where   `_tbl_Members`.`MemberCode` in ('WTJAY00070','WTBHA00072','WTHAL00071')
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTBHA00072'
[2020-11-18 09:58:22]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTBHA00072'
[2020-11-18 09:58:22]	select * from _tbl_store_feedback where MemberCode='WTDAR00069'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:27]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='252'
[2020-11-18 09:58:27]	select * from _tbl_Members where MemberID='252'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where Position='L' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where Position='R' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:27]	select * from `_tbl_Members` where `MemberCode`='WTJAY00070'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:27]	select * from _tbl_payoutsummary where MemberCode='WTJAY00070'
[2020-11-18 09:58:27]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTJAY00070'
[2020-11-18 09:58:27]	select * from _tbl_payoutsummary where   MemberID='253'  Order by `PayoutID` Desc
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070' and Position='L'
[2020-11-18 09:58:27]	select * from `_tbl_Members` where `MemberCode`='WTBHA00072'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTBHA00072'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTBHA00072'
[2020-11-18 09:58:27]	select * from _tbl_payoutsummary where MemberCode='WTBHA00072'
[2020-11-18 09:58:27]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTBHA00072'
[2020-11-18 09:58:27]	select * from _tbl_payoutsummary where   MemberID='255'  Order by `PayoutID` Desc
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070' and Position='R'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072' and Position='L'
[2020-11-18 09:58:27]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072' and Position='R'
[2020-11-18 09:58:27]	select * from _tbl_store_feedback where MemberCode='WTDAR00069'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:32]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='252'
[2020-11-18 09:58:32]	select * from _tbl_Members where MemberID='252'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `ParentCode`='WTDAR00069'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:32]	select * from `_tbl_Members` where `MemberCode` in ('WTJAY00070','WTBHA00072','WTHAL00071')
[2020-11-18 09:58:32]	
    SELECT * FROM _tbl_Members LEFT JOIN
        _tbl_Settings_Packages ON _tbl_Members.CurrentPackageID=_tbl_Settings_Packages.PackageID where   `_tbl_Members`.`MemberCode` in ('WTJAY00070','WTBHA00072','WTHAL00071')
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTBHA00072'
[2020-11-18 09:58:32]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTBHA00072'
[2020-11-18 09:58:32]	select * from _tbl_store_feedback where MemberCode='WTDAR00069'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:36]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='252'
[2020-11-18 09:58:36]	select * from _tbl_Members where MemberID='252'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where Position='L' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where Position='R' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:36]	select * from `_tbl_Members` where `MemberCode`='WTHAL00071'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:36]	select * from _tbl_payoutsummary where MemberCode='WTHAL00071'
[2020-11-18 09:58:36]	select (sum(DebitLeft)) as DebitLeft, (sum(DebitRight)) as DebitRight from _tbl_payoutsummary where MemberCode='WTHAL00071'
[2020-11-18 09:58:36]	select * from _tbl_payoutsummary where   MemberID='254'  Order by `PayoutID` Desc
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071' and Position='L'
[2020-11-18 09:58:36]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071' and Position='R'
[2020-11-18 09:58:36]	select * from _tbl_store_feedback where MemberCode='WTDAR00069'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:39]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='252'
[2020-11-18 09:58:39]	select * from _tbl_Members where MemberID='252'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `ParentCode`='WTDAR00069'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:39]	select * from `_tbl_Members` where `MemberCode` in ('WTJAY00070','WTBHA00072','WTHAL00071')
[2020-11-18 09:58:39]	
    SELECT * FROM _tbl_Members LEFT JOIN
        _tbl_Settings_Packages ON _tbl_Members.CurrentPackageID=_tbl_Settings_Packages.PackageID where   `_tbl_Members`.`MemberCode` in ('WTJAY00070','WTBHA00072','WTHAL00071')
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTJAY00070'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTHAL00071'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTBHA00072'
[2020-11-18 09:58:39]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTBHA00072'
[2020-11-18 09:58:39]	select * from _tbl_store_feedback where MemberCode='WTDAR00069'
[2020-11-18 09:58:44]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:44]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:44]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:44]	select * from `_tblPlacements` where `ParentCode`='WTJAY00070'
[2020-11-18 09:58:44]	select * from `_tblPlacements` where `ParentCode`='WTBHA00072'
[2020-11-18 09:58:44]	select (sum(Credits)-sum(Debits)) as bal from  _tbl_wallet_earnings where MemberID='252'
[2020-11-18 09:58:44]	select * from _tbl_Members where MemberID='252'
[2020-11-18 09:58:44]	select sum(InvoiceAmount) as bal from _tbl_orders where MemberCode='WTDAR00069'
[2020-11-18 09:58:44]	SELECT * FROM _tbl_orders where MemberCode='WTDAR00069' order by OrderID Desc
[2020-11-18 09:58:44]	select * from _tbl_store_feedback where MemberCode='WTDAR00069'
[2020-11-18 09:58:48]	select * from `_tblPlacements` where `Position`='L' and `ParentCode`='WTDAR00069'
[2020-11-18 09:58:48]	select * from `_tblPlacements` where `ParentCode`='WTHAL00071'
[2020-11-18 09:58:48]	select * from `_tblPlacements` where `Position`='R' and `ParentCode`='WTDAR00069'
